date,open,high,low,close,adjclose,changed,changep,volume
2014-11-28,207.49,207.87,206.91,207.2,191.3905,-0.406,-0.0021,57890088
2014-12-01,206.4,206.54,205.38,205.76,190.0604,-1.33,-0.0069,103968354
2014-12-02,205.81,207.34,205.782,207.085,191.2843,1.224,0.0064,74507192
2014-12-03,207.3,208.15,207.1,207.89,192.0279,0.744,0.0039000000000000003,68951968
2014-12-08,207.52,208.12,205.93,206.61,190.8455,-1.284,-0.0067,108588152
2014-12-10,205.91,205.98,202.93,203.1601,187.6589,-3.057,-0.016,159856394
2014-12-11,203.88,206.19,203.71,204.19,188.6102,0.951,0.0051,159012805
2014-12-12,202.64,203.819,200.85,200.89,185.562,-3.048,-0.016200000000000003,202330191
2014-12-15,201.98,202.53,198.78,199.51,184.2873,-1.275,-0.0069,189965750
2014-12-18,204.74,212.97,203.92,206.78,191.0026,4.609,0.024700000000000003,257633887
2014-12-19,206.43,207.33,205.6109,206.52,191.8153,0.813,0.0043,245084590
2014-12-23,208.17,208.23,207.3991,207.75,192.9577,0.26,0.0013,122167931
2014-12-26,208.31,208.85,208.25,208.44,193.5986,0.622,0.0032,57326703
2014-12-29,208.22,208.97,208.14,208.72,193.8586,0.26,0.0013,79643948
2014-12-30,208.21,208.37,207.51,207.6,192.8184,-1.04,-0.0054,73540761
2014-12-31,207.99,208.19,205.39,205.54,190.905,-1.913,-0.009899999999999999,130333829
2015-01-02,206.38,206.88,204.18,205.43,190.8029,-0.102,-5e-4,121465865
2015-01-06,202.09,202.72,198.855,199.82,185.5923,-1.765,-0.009399999999999999,209151408
2015-01-07,201.42,202.72,200.88,202.31,187.905,2.313,0.0125,125346709
2015-01-08,204.01,206.16,203.99,205.9,191.2394,3.334,0.0177,147217784
2015-01-09,206.4,206.42,203.51,204.25,189.7069,-1.533,-0.008,158567288
2015-01-12,204.41,204.6,201.92,202.65,188.2208,-1.486,-0.0078000000000000005,144396067
2015-01-13,204.12,205.48,200.51,202.08,187.6914,-0.529,-0.0028000000000000004,214553306
2015-01-14,199.65,201.1,198.57,200.86,186.5583,-1.133,-0.006,192991092
2015-01-15,201.63,202.01,198.88,199.0199,184.8492,-1.709,-0.0092,176613906
2015-01-16,198.77,201.82,198.55,201.63,187.2734,2.424,0.0131,211879605
2015-01-20,202.4,202.72,200.17,202.055,187.6682,0.395,0.0021,130991069
2015-01-21,201.5,203.66,200.94,203.08,188.6202,0.952,0.0051,122942707
2015-01-22,203.99,206.26,202.33,206.1,191.4252,2.805,0.0149,174356029
2015-01-23,205.79,206.1,204.81,204.97,190.3756,-1.05,-0.0055000000000000005,117516753
2015-01-26,204.71,205.56,203.85,205.45,190.8214,0.446,0.0023,92009711
2015-01-27,202.97,204.12,201.74,202.74,188.3044,-2.517,-0.0132,134044598
2015-01-28,204.17,204.29,199.91,200.14,185.8895,-2.415,-0.0128,168514312
2015-01-29,200.38,202.3,198.68,201.9902,187.608,1.718,0.0092,173585424
2015-01-30,200.57,202.17,199.13,199.45,185.2487,-2.359,-0.0126,197729724
2015-02-02,200.05,202.03,197.86,201.92,187.5428,2.294,0.0124,163106969
2015-02-03,203,204.85,202.55,204.84,190.2549,2.712,0.014499999999999999,124212881
2015-02-04,203.92,205.38,203.51,204.06,189.5304,-0.724,-0.0038,134306728
2015-02-05,204.86,206.3,204.77,206.12,191.4437,1.913,0.0101,97953181
2015-02-06,206.56,207.24,204.92,205.55,190.9143,-0.529,-0.0028000000000000004,125672026
2015-02-10,205.88,207.12,204.6801,206.81,192.0846,2.025,0.010700000000000001,96164183
2015-02-11,206.61,207.45,205.83,206.93,192.1961,0.111,6e-4,91087785
2015-02-12,207.89,208.99,206.9727,208.92,194.0444,1.848,0.0096,97545949
2015-02-13,209.07,209.84,208.76,209.78,194.8431,0.799,0.0040999999999999995,93670430
2015-02-17,209.4,210.32,209.1,210.11,195.1496,0.307,0.0016,76968199
